,weekday,line_count,notes,timestamp_arrive,timestamp_depart
168,Thursday,9,,2016-12-15 08:14:00,2016-12-15 08:16:00
169,Friday,4,,2016-12-16 08:23:00,2016-12-16 08:30:00
170,Monday,21,took bus; no cars came,2016-12-19 07:50:00,
171,Tuesday ,8,,2016-12-20 08:12:00,2016-12-20 08:16:00
172,Wednesday,3,,2016-12-21 08:13:00,2016-12-21 08:14:00
173,Thursday,16,,2016-12-22 08:07:00,2016-12-22 08:20:00
174,Tuesday,2,,2016-12-27 08:35:00,2016-12-27 08:39:00
175,Friday,4,,2016-12-30 08:07:00,2016-12-30 08:11:00
176,Tuesday,10,,2017-01-03 07:50:00,2017-01-03 08:01:00
177,Wednesday,3,,2017-01-04 07:19:00,2017-01-04 07:21:00
178,Wednesday,4,,2017-01-04 08:09:00,2017-01-04 08:12:00
179,Thursday,13,,2017-01-05 07:54:00,2017-01-05 08:05:00
180,Thursday,2,,2017-01-05 08:27:00,2017-01-05 08:31:00
181,Friday,5,"Took bus, 5 still in line",2017-01-06 07:24:00,2017-01-06 07:26:00
182,Friday,7,,2017-01-06 08:16:00,2017-01-06 08:21:00
183,Monday,19,,2017-01-09 07:44:00,2017-01-09 07:54:00
184,Monday,20,,2017-01-09 08:15:00,2017-01-09 08:25:00
185,Tuesday,1,,2017-01-10 07:19:00,2017-01-10 07:19:00
186,Tuesday,0,,2017-01-10 08:22:00,2017-01-10 08:22:00
187,Wednesday,0,,2017-01-11 07:16:00,2017-01-11 07:16:00
188,Wednesday,5,,2017-01-11 08:22:00,2017-01-11 08:22:00
189,Thursday,1,,2017-01-12 07:37:00,2017-01-12 07:44:00
190,Thursday,7,,2017-01-12 08:34:00,2017-01-12 08:37:00
191,Friday,1,,2017-01-13 07:49:00,2017-01-13 07:52:00
192,Friday,4,,2017-01-13 08:24:00,2017-01-13 08:26:00
193,Tuesday,0,,2017-01-17 07:22:00,2017-01-17 07:22:00
194,Tuesday,16,,2017-01-17 08:10:00,2017-01-17 08:21:00
195,Wednesday,0,,2017-01-18 07:15:00,2017-01-18 07:15:00
196,Wednesday,4,,2017-01-18 08:24:00,2017-01-18 08:25:00
197,Thursday,0,,2017-01-19 07:27:00,2017-01-19 07:27:00
198,Thursday,0,,2017-01-19 07:42:00,2017-01-19 07:45:00
